actual,proposed
-3.1823501586914062,0.013245770707726479
-3.1757216453552246,-3.1823501586914062
-2.975708246231079,0.013245770707726479
-2.9663443565368652,-2.975708246231079
-2.9632225036621094,-2.9663443565368652
-2.9663443565368652,-2.9632225036621094
-2.9632225036621094,-2.9663443565368652
-2.7339043617248535,0.0017590757925063372
-2.7310028076171875,-2.7339043617248535
-2.7281012535095215,-2.7310028076171875
-2.722297191619873,0.001749556977301836
-2.7193949222564697,-2.722297191619873
-2.7193949222564697,0.001749556977301836
-2.6327948570251465,-2.7193949222564697
-2.6299777030944824,-2.6327948570251465
-2.624342679977417,0.011317367665469646
-2.6187069416046143,0.011317367665469646
-2.53105092048645,-2.5256075859069824
-2.511996269226074,0.011192495003342628
-2.3179922103881836,-2.3205230236053467
-2.100611686706543,-2.105253219604492
-1.8655825853347778,-2.093648672103882
-1.8614202737808228,-1.8635015487670898
-1.0284212827682495,0.010961048305034637
-0.9014498591423035,0.010961048305034637
-0.6621240973472595,-0.747948169708252
-0.6635491251945496,-0.6621240973472595
-0.6656867861747742,0.011109897866845131
-0.6671118140220642,-0.6656867861747742
-0.6685368418693542,0.011109897866845131
-0.5756711959838867,-0.6685368418693542
-0.5762836933135986,-0.5756711959838867
-0.5762836933135986,0.01121088583022356
-0.5768961310386658,-0.5762836933135986
-0.5775085091590881,0.011222812347114086
-0.4736423194408417,-0.5775085091590881
-0.47414425015449524,0.011193287558853626
-0.4746462106704712,0.011205158196389675
-0.47514814138412476,-0.4746462106704712
-0.4756500720977783,0.011205158196389675
-0.39310121536254883,-0.4756500720977783
-0.39310121536254883,-0.39310121536254883
-0.39351657032966614,0.011205158196389675
-0.3951779305934906,-0.3951779305934906
-0.3048756718635559,-0.3951779305934906
-0.3045561909675598,0.011205158196389675
-0.3042367100715637,-0.3045561909675598
0.02143363654613495,-0.16178196668624878
0.021411053836345673,1.9737848855339024e-10
0.021411053836345673,0.021411053836345673
0.021411053836345673,1.9737848855339024e-10
0.021411053836345673,0.021411053836345673
0.1739450991153717,0.021411053836345673
0.1739450991153717,1.9737848855339024e-10
0.1739450991153717,0.1739450991153717
0.3335496485233307,0.011046943254768848
0.3335496485233307,0.3335496485233307
0.3335496485233307,0.3335496485233307
